ProcedureURN,ProcedureID,Active,Procedures,Description
1917,0T184ZA	,1,BYPASS BILATERAL URETERS TO ILEUM; PERCUTANEOUS ENDOSCOPIC APPROACH	,
1966,0T1B079	,1,BYPASS BLADDER TO COLOCUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
1974,0T1B47D	,1,BYPASS BLADDER TO CUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1978,0T1B3JD	,1,BYPASS BLADDER TO CUTANEOUS WITH SYNTHETIC SUBSTITUTE; PERCUTANEOUS APPROACH	,NULL
1979,0T1B4JD	,1,BYPASS BLADDER TO CUTANEOUS WITH SYNTHETIC SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1980,0T1B0ZD,1,BYPASS BLADDER TO CUTANEOUS; OPEN APPROACH	,NULL
1981,0T1B4ZD	,1,BYPASS BLADDER TO CUTANEOUS; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1982,0T1B07C	,1,BYPASS BLADDER TO ILEOCUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
1983,0T1B47C	,1,BYPASS BLADDER TO ILEOCUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
1988,0T1B0ZC	,1,BYPASS BLADDER TO ILEOCUTANEOUS; OPEN APPROACH	,NULL
1989,0T1B4ZC	,1,BYPASS BLADDER TO ILEOCUTANEOUS; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
2025,0D1H4Z4	,1,BYPASS CECUM TO CUTANEOUS; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
2080,16073	,1,BYPASS CEREBRAL VENTRICLE TO BLOOD VESSEL WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
2118,00160J6	,1,BYPASS CEREBRAL VENTRICLE TO PERITONEAL CAVITY WITH SYNTHETIC SUBSTITUTE; OPEN APPROACH	,
2119,00163J6	,1,BYPASS CEREBRAL VENTRICLE TO PERITONEAL CAVITY WITH SYNTHETIC SUBSTITUTE; PERCUTANEOUS APPROACH	,NULL
2158,0F190Z3	,1,BYPASS COMMON BILE DUCT TO DUODENUM; OPEN APPROACH	,NULL
2159,0F194Z3	,1,BYPASS COMMON BILE DUCT TO DUODENUM; PERCUTANEOUS ENDOSCOPIC APPROACH	,
2170,0F190ZB	,1,BYPASS COMMON BILE DUCT TO SMALL INTESTINE; OPEN APPROACH	,NULL
2171,0F194ZB	,1,BYPASS COMMON BILE DUCT TO SMALL INTESTINE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
2248,02100AW	,1,BYPASS CORONARY ARTERY; ONE SITE FROM AORTA WITH AUTOLOGOUS ARTERIAL TISSUE; OPEN APPROACH	,
2276,02100J9	,1,BYPASS CORONARY ARTERY; ONE SITE FROM LEFT INTERNAL MAMMARY WITH SYNTHETIC SUBSTITUTE; OPEN APPROACH	,
2278,02100Z9	,1,BYPASS CORONARY ARTERY; ONE SITE FROM LEFT INTERNAL MAMMARY; OPEN APPROACH	,
2288,02100Z8	,1,BYPASS CORONARY ARTERY; ONE SITE FROM RIGHT INTERNAL MAMMARY; OPEN APPROACH	,
2376,02110KW	,1,BYPASS CORONARY ARTERY; TWO SITES FROM AORTA WITH NONAUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,
2454,0F180ZB	,1,BYPASS CYSTIC DUCT TO SMALL INTESTINE; OPEN APPROACH	,NULL
2460,0D1M074	,1,BYPASS DESCENDING COLON TO CUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
2461,0D1M474	,1,BYPASS DESCENDING COLON TO CUTANEOUS WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
2470,0D1M0Z4	,1,BYPASS DESCENDING COLON TO CUTANEOUS; OPEN APPROACH	,NULL
2473,0D1M07M	,1,BYPASS DESCENDING COLON TO DESCENDING COLON WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
2482,0D1M0ZM	,1,BYPASS DESCENDING COLON TO DESCENDING COLON; OPEN APPROACH	,NULL
2483,0D1M4ZM	,1,BYPASS DESCENDING COLON TO DESCENDING COLON; PERCUTANEOUS ENDOSCOPIC APPROACH	,
2486,0D1M47P	,1,BYPASS DESCENDING COLON TO RECTUM WITH AUTOLOGOUS TISSUE SUBSTITUTE; PERCUTANEOUS ENDOSCOPIC APPROACH	,NULL
2497,0D1M07N	,1,BYPASS DESCENDING COLON TO SIGMOID COLON WITH AUTOLOGOUS TISSUE SUBSTITUTE; OPEN APPROACH	,NULL
2505,0D1M8JN	,1,BYPASS DESCENDING COLON TO SIGMOID COLON WITH SYNTHETIC SUBSTITUTE; VIA NATURAL OR ARTIFICIAL OPENING ENDOSCOPIC	,NULL
